UUID,Council Code,Council Name,Care Type,Activity Provision,Age Bands,Primary support reason,Long Term Support Setting,Short Term Purpose,Data Type,Value,Notes
8623202,908,Bath and North East Somerset,Short term,External,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,0,
8623301,908,Bath and North East Somerset,Short term,In house,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,0,
8623302,908,Bath and North East Somerset,Short term,External,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,0,
8623401,908,Bath and North East Somerset,Short term,In house,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,0,
8623402,908,Bath and North East Somerset,Short term,External,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,0,
8623501,908,Bath and North East Somerset,Short term,In house,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,0,
8623502,908,Bath and North East Somerset,Short term,External,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,0,
8623601,908,Bath and North East Somerset,Short term,In house,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,0,
8623602,908,Bath and North East Somerset,Short term,External,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,0,
8623701,908,Bath and North East Somerset,Short term,In house,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,0,
8623702,908,Bath and North East Somerset,Short term,External,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,0,
8623801,908,Bath and North East Somerset,Short term,In house,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,0,
8623802,908,Bath and North East Somerset,Short term,External,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,0,
8623901,908,Bath and North East Somerset,Short term,In house,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,0,
8623902,908,Bath and North East Somerset,Short term,External,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,0,
8624001,908,Bath and North East Somerset,Short term,In house,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,0,
8624002,908,Bath and North East Somerset,Short term,External,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,0,
8624101,908,Bath and North East Somerset,Short term,In house,Age 85 and over,Physical support,-,To maximise independence,Voluntary,0,
8624102,908,Bath and North East Somerset,Short term,External,Age 85 and over,Physical support,-,To maximise independence,Voluntary,0,
8624201,908,Bath and North East Somerset,Short term,In house,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,0,
8624202,908,Bath and North East Somerset,Short term,External,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,0,
8624301,908,Bath and North East Somerset,Short term,In house,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,0,
8624302,908,Bath and North East Somerset,Short term,External,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,0,
8624401,908,Bath and North East Somerset,Short term,In house,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,0,
8624402,908,Bath and North East Somerset,Short term,External,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,0,
8624501,908,Bath and North East Somerset,Short term,In house,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,0,
8624502,908,Bath and North East Somerset,Short term,External,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,0,
8632101,908,Bath and North East Somerset,Long term,In house,Age 65 to 74,Physical support,Residential,-,Voluntary,0,
8632102,908,Bath and North East Somerset,Long term,External,Age 65 to 74,Physical support,Residential,-,Voluntary,0,
8632201,908,Bath and North East Somerset,Long term,In house,Age 65 to 74,Sensory support,Residential,-,Voluntary,0,
8632202,908,Bath and North East Somerset,Long term,External,Age 65 to 74,Sensory support,Residential,-,Voluntary,0,
8632301,908,Bath and North East Somerset,Long term,In house,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,0,
8632302,908,Bath and North East Somerset,Long term,External,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,0,
8632401,908,Bath and North East Somerset,Long term,In house,Age 65 to 74,Learning disability support,Residential,-,Voluntary,0,
8632402,908,Bath and North East Somerset,Long term,External,Age 65 to 74,Learning disability support,Residential,-,Voluntary,0,
8632501,908,Bath and North East Somerset,Long term,In house,Age 65 to 74,Mental health support,Residential,-,Voluntary,0,
8632502,908,Bath and North East Somerset,Long term,External,Age 65 to 74,Mental health support,Residential,-,Voluntary,0,
8632601,908,Bath and North East Somerset,Long term,In house,Age 75 to 84,Physical support,Residential,-,Voluntary,0,
8632602,908,Bath and North East Somerset,Long term,External,Age 75 to 84,Physical support,Residential,-,Voluntary,0,
8632701,908,Bath and North East Somerset,Long term,In house,Age 75 to 84,Sensory support,Residential,-,Voluntary,0,
8632702,908,Bath and North East Somerset,Long term,External,Age 75 to 84,Sensory support,Residential,-,Voluntary,0,
8632801,908,Bath and North East Somerset,Long term,In house,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,0,
8632802,908,Bath and North East Somerset,Long term,External,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,0,
8632901,908,Bath and North East Somerset,Long term,In house,Age 75 to 84,Learning disability support,Residential,-,Voluntary,0,
8632902,908,Bath and North East Somerset,Long term,External,Age 75 to 84,Learning disability support,Residential,-,Voluntary,0,
8633001,908,Bath and North East Somerset,Long term,In house,Age 75 to 84,Mental health support,Residential,-,Voluntary,0,
8633002,908,Bath and North East Somerset,Long term,External,Age 75 to 84,Mental health support,Residential,-,Voluntary,0,
8633101,908,Bath and North East Somerset,Long term,In house,Age 85 and over,Physical support,Residential,-,Voluntary,0,
8633102,908,Bath and North East Somerset,Long term,External,Age 85 and over,Physical support,Residential,-,Voluntary,0,
8633201,908,Bath and North East Somerset,Long term,In house,Age 85 and over,Sensory support,Residential,-,Voluntary,0,
8633202,908,Bath and North East Somerset,Long term,External,Age 85 and over,Sensory support,Residential,-,Voluntary,0,
8633301,908,Bath and North East Somerset,Long term,In house,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,0,
8633302,908,Bath and North East Somerset,Long term,External,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,0,
8633401,908,Bath and North East Somerset,Long term,In house,Age 85 and over,Learning disability support,Residential,-,Voluntary,0,
8633402,908,Bath and North East Somerset,Long term,External,Age 85 and over,Learning disability support,Residential,-,Voluntary,0,
8633501,908,Bath and North East Somerset,Long term,In house,Age 85 and over,Mental health support,Residential,-,Voluntary,0,
8633502,908,Bath and North East Somerset,Long term,External,Age 85 and over,Mental health support,Residential,-,Voluntary,0,
8633602,908,Bath and North East Somerset,Long term,External,Age 65 to 74,Physical support,Nursing,-,Voluntary,0,
8633702,908,Bath and North East Somerset,Long term,External,Age 65 to 74,Sensory support,Nursing,-,Voluntary,0,
8633802,908,Bath and North East Somerset,Long term,External,Age 65 to 74,Support with memory and cognition,Nursing,-,Voluntary,0,
8633902,908,Bath and North East Somerset,Long term,External,Age 65 to 74,Learning disability support,Nursing,-,Voluntary,0,
8634002,908,Bath and North East Somerset,Long term,External,Age 65 to 74,Mental health support,Nursing,-,Voluntary,0,
8634102,908,Bath and North East Somerset,Long term,External,Age 75 to 84,Physical support,Nursing,-,Voluntary,0,
8634202,908,Bath and North East Somerset,Long term,External,Age 75 to 84,Sensory support,Nursing,-,Voluntary,0,
8634302,908,Bath and North East Somerset,Long term,External,Age 75 to 84,Support with memory and cognition,Nursing,-,Voluntary,0,
8634402,908,Bath and North East Somerset,Long term,External,Age 75 to 84,Learning disability support,Nursing,-,Voluntary,0,
8634502,908,Bath and North East Somerset,Long term,External,Age 75 to 84,Mental health support,Nursing,-,Voluntary,0,
8634602,908,Bath and North East Somerset,Long term,External,Age 85 and over,Physical support,Nursing,-,Voluntary,0,
8634702,908,Bath and North East Somerset,Long term,External,Age 85 and over,Sensory support,Nursing,-,Voluntary,0,
8634802,908,Bath and North East Somerset,Long term,External,Age 85 and over,Support with memory and cognition,Nursing,-,Voluntary,0,
8634902,908,Bath and North East Somerset,Long term,External,Age 85 and over,Learning disability support,Nursing,-,Voluntary,0,
8635002,908,Bath and North East Somerset,Long term,External,Age 85 and over,Mental health support,Nursing,-,Voluntary,0,
8610101,909,Bristol,Long term,In house,Age 18 to 64,Physical support,Residential,-,Mandatory,0,
8610102,909,Bristol,Long term,External,Age 18 to 64,Physical support,Residential,-,Mandatory,1698.86,
8610201,909,Bristol,Long term,In house,Age 18 to 64,Sensory support,Residential,-,Mandatory,0,
8610202,909,Bristol,Long term,External,Age 18 to 64,Sensory support,Residential,-,Mandatory,300.86,
8610301,909,Bristol,Long term,In house,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,0,
8610302,909,Bristol,Long term,External,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,527.14,
8610401,909,Bristol,Long term,In house,Age 18 to 64,Learning disability support,Residential,-,Mandatory,279,
8610402,909,Bristol,Long term,External,Age 18 to 64,Learning disability support,Residential,-,Mandatory,14168.14,
8610501,909,Bristol,Long term,In house,Age 18 to 64,Mental health support,Residential,-,Mandatory,0,
8610502,909,Bristol,Long term,External,Age 18 to 64,Mental health support,Residential,-,Mandatory,4769.86,
8610601,909,Bristol,Long term,In house,Age 65 and over,Physical support,Residential,-,Mandatory,0,
8610602,909,Bristol,Long term,External,Age 65 and over,Physical support,Residential,-,Mandatory,11154.14,
8610701,909,Bristol,Long term,In house,Age 65 and over,Sensory support,Residential,-,Mandatory,0,
8610702,909,Bristol,Long term,External,Age 65 and over,Sensory support,Residential,-,Mandatory,1120,
8610801,909,Bristol,Long term,In house,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,1652.29,
8610802,909,Bristol,Long term,External,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,8665.86,
8610901,909,Bristol,Long term,In house,Age 65 and over,Learning disability support,Residential,-,Mandatory,0,
8610902,909,Bristol,Long term,External,Age 65 and over,Learning disability support,Residential,-,Mandatory,4346,
8611001,909,Bristol,Long term,In house,Age 65 and over,Mental health support,Residential,-,Mandatory,0,
8611002,909,Bristol,Long term,External,Age 65 and over,Mental health support,Residential,-,Mandatory,4473.57,
8611102,909,Bristol,Long term,External,Age 18 to 64,Physical support,Nursing,-,Mandatory,1216.86,
8611202,909,Bristol,Long term,External,Age 18 to 64,Sensory support,Nursing,-,Mandatory,0,
8611302,909,Bristol,Long term,External,Age 18 to 64,Support with memory and cognition,Nursing,-,Mandatory,123.29,
8611402,909,Bristol,Long term,External,Age 18 to 64,Learning disability support,Nursing,-,Mandatory,776.43,
8611502,909,Bristol,Long term,External,Age 18 to 64,Mental health support,Nursing,-,Mandatory,1220.86,
8611602,909,Bristol,Long term,External,Age 65 and over,Physical support,Nursing,-,Mandatory,16830,
8611702,909,Bristol,Long term,External,Age 65 and over,Sensory support,Nursing,-,Mandatory,1109.29,
8611802,909,Bristol,Long term,External,Age 65 and over,Support with memory and cognition,Nursing,-,Mandatory,9948.43,
8611902,909,Bristol,Long term,External,Age 65 and over,Learning disability support,Nursing,-,Mandatory,1249.29,
8612002,909,Bristol,Long term,External,Age 65 and over,Mental health support,Nursing,-,Mandatory,3157.29,
8622101,909,Bristol,Short term,In house,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,0,
8622102,909,Bristol,Short term,External,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,0,
8622201,909,Bristol,Short term,In house,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622202,909,Bristol,Short term,External,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622301,909,Bristol,Short term,In house,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622302,909,Bristol,Short term,External,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622401,909,Bristol,Short term,In house,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,0,
8622402,909,Bristol,Short term,External,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,0,
8622501,909,Bristol,Short term,In house,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,0,
8622502,909,Bristol,Short term,External,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,0,
8622601,909,Bristol,Short term,In house,Age 65 and over,Physical support,-,To maximise independence,Mandatory,1155,
8622602,909,Bristol,Short term,External,Age 65 and over,Physical support,-,To maximise independence,Mandatory,0,
8622701,909,Bristol,Short term,In house,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,0,
8622702,909,Bristol,Short term,External,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,0,
8622801,909,Bristol,Short term,In house,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622802,909,Bristol,Short term,External,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622901,909,Bristol,Short term,In house,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,0,
8622902,909,Bristol,Short term,External,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,0,
8623001,909,Bristol,Short term,In house,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,0,
8623002,909,Bristol,Short term,External,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,0,
8623101,909,Bristol,Short term,In house,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623102,909,Bristol,Short term,External,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623201,909,Bristol,Short term,In house,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623202,909,Bristol,Short term,External,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623301,909,Bristol,Short term,In house,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623302,909,Bristol,Short term,External,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623401,909,Bristol,Short term,In house,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623402,909,Bristol,Short term,External,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623501,909,Bristol,Short term,In house,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623502,909,Bristol,Short term,External,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623601,909,Bristol,Short term,In house,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623602,909,Bristol,Short term,External,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623701,909,Bristol,Short term,In house,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623702,909,Bristol,Short term,External,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623801,909,Bristol,Short term,In house,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623802,909,Bristol,Short term,External,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623901,909,Bristol,Short term,In house,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8623902,909,Bristol,Short term,External,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8624001,909,Bristol,Short term,In house,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624002,909,Bristol,Short term,External,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624101,909,Bristol,Short term,In house,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624102,909,Bristol,Short term,External,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624201,909,Bristol,Short term,In house,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624202,909,Bristol,Short term,External,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624301,909,Bristol,Short term,In house,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624302,909,Bristol,Short term,External,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624401,909,Bristol,Short term,In house,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624402,909,Bristol,Short term,External,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624501,909,Bristol,Short term,In house,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8624502,909,Bristol,Short term,External,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8632101,909,Bristol,Long term,In house,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632102,909,Bristol,Long term,External,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632201,909,Bristol,Long term,In house,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632202,909,Bristol,Long term,External,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632301,909,Bristol,Long term,In house,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632302,909,Bristol,Long term,External,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632401,909,Bristol,Long term,In house,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632402,909,Bristol,Long term,External,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632501,909,Bristol,Long term,In house,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632502,909,Bristol,Long term,External,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632601,909,Bristol,Long term,In house,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632602,909,Bristol,Long term,External,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632701,909,Bristol,Long term,In house,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632702,909,Bristol,Long term,External,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632801,909,Bristol,Long term,In house,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632802,909,Bristol,Long term,External,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632901,909,Bristol,Long term,In house,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8632902,909,Bristol,Long term,External,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8633001,909,Bristol,Long term,In house,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633002,909,Bristol,Long term,External,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633101,909,Bristol,Long term,In house,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633102,909,Bristol,Long term,External,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633201,909,Bristol,Long term,In house,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633202,909,Bristol,Long term,External,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633301,909,Bristol,Long term,In house,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633302,909,Bristol,Long term,External,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633401,909,Bristol,Long term,In house,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633402,909,Bristol,Long term,External,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633501,909,Bristol,Long term,In house,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633502,909,Bristol,Long term,External,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633602,909,Bristol,Long term,External,Age 65 to 74,Physical support,Nursing,-,Voluntary,,
8633702,909,Bristol,Long term,External,Age 65 to 74,Sensory support,Nursing,-,Voluntary,,
8633802,909,Bristol,Long term,External,Age 65 to 74,Support with memory and cognition,Nursing,-,Voluntary,,
8633902,909,Bristol,Long term,External,Age 65 to 74,Learning disability support,Nursing,-,Voluntary,,
8634002,909,Bristol,Long term,External,Age 65 to 74,Mental health support,Nursing,-,Voluntary,,
8634102,909,Bristol,Long term,External,Age 75 to 84,Physical support,Nursing,-,Voluntary,,
8634202,909,Bristol,Long term,External,Age 75 to 84,Sensory support,Nursing,-,Voluntary,,
8634302,909,Bristol,Long term,External,Age 75 to 84,Support with memory and cognition,Nursing,-,Voluntary,,
8634402,909,Bristol,Long term,External,Age 75 to 84,Learning disability support,Nursing,-,Voluntary,,
8634502,909,Bristol,Long term,External,Age 75 to 84,Mental health support,Nursing,-,Voluntary,,
8634602,909,Bristol,Long term,External,Age 85 and over,Physical support,Nursing,-,Voluntary,,
8634702,909,Bristol,Long term,External,Age 85 and over,Sensory support,Nursing,-,Voluntary,,
8634802,909,Bristol,Long term,External,Age 85 and over,Support with memory and cognition,Nursing,-,Voluntary,,
8634902,909,Bristol,Long term,External,Age 85 and over,Learning disability support,Nursing,-,Voluntary,,
8635002,909,Bristol,Long term,External,Age 85 and over,Mental health support,Nursing,-,Voluntary,,
8610101,910,North Somerset,Long term,In house,Age 18 to 64,Physical support,Residential,-,Mandatory,0,
8610102,910,North Somerset,Long term,External,Age 18 to 64,Physical support,Residential,-,Mandatory,1320.57,
8610201,910,North Somerset,Long term,In house,Age 18 to 64,Sensory support,Residential,-,Mandatory,0,
8610202,910,North Somerset,Long term,External,Age 18 to 64,Sensory support,Residential,-,Mandatory,10.57,
8610301,910,North Somerset,Long term,In house,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,0,
8610302,910,North Somerset,Long term,External,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,159.71,
8610401,910,North Somerset,Long term,In house,Age 18 to 64,Learning disability support,Residential,-,Mandatory,0,
8610402,910,North Somerset,Long term,External,Age 18 to 64,Learning disability support,Residential,-,Mandatory,5653.86,
8610501,910,North Somerset,Long term,In house,Age 18 to 64,Mental health support,Residential,-,Mandatory,0,
8610502,910,North Somerset,Long term,External,Age 18 to 64,Mental health support,Residential,-,Mandatory,2538.86,
8610601,910,North Somerset,Long term,In house,Age 65 and over,Physical support,Residential,-,Mandatory,0,
8610602,910,North Somerset,Long term,External,Age 65 and over,Physical support,Residential,-,Mandatory,15036.14,
8610701,910,North Somerset,Long term,In house,Age 65 and over,Sensory support,Residential,-,Mandatory,0,
8610702,910,North Somerset,Long term,External,Age 65 and over,Sensory support,Residential,-,Mandatory,132.29,
8610801,910,North Somerset,Long term,In house,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,0,
8610802,910,North Somerset,Long term,External,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,8066.57,
8610901,910,North Somerset,Long term,In house,Age 65 and over,Learning disability support,Residential,-,Mandatory,0,
8610902,910,North Somerset,Long term,External,Age 65 and over,Learning disability support,Residential,-,Mandatory,1967.86,
8611001,910,North Somerset,Long term,In house,Age 65 and over,Mental health support,Residential,-,Mandatory,0,
8611002,910,North Somerset,Long term,External,Age 65 and over,Mental health support,Residential,-,Mandatory,3827.57,
8611102,910,North Somerset,Long term,External,Age 18 to 64,Physical support,Nursing,-,Mandatory,929.43,
8611202,910,North Somerset,Long term,External,Age 18 to 64,Sensory support,Nursing,-,Mandatory,0,
8611302,910,North Somerset,Long term,External,Age 18 to 64,Support with memory and cognition,Nursing,-,Mandatory,63.57,
8611402,910,North Somerset,Long term,External,Age 18 to 64,Learning disability support,Nursing,-,Mandatory,194,
8611502,910,North Somerset,Long term,External,Age 18 to 64,Mental health support,Nursing,-,Mandatory,348.29,
8611602,910,North Somerset,Long term,External,Age 65 and over,Physical support,Nursing,-,Mandatory,9128.14,
8611702,910,North Somerset,Long term,External,Age 65 and over,Sensory support,Nursing,-,Mandatory,48,
8611802,910,North Somerset,Long term,External,Age 65 and over,Support with memory and cognition,Nursing,-,Mandatory,5993.86,
8611902,910,North Somerset,Long term,External,Age 65 and over,Learning disability support,Nursing,-,Mandatory,345.14,
8612002,910,North Somerset,Long term,External,Age 65 and over,Mental health support,Nursing,-,Mandatory,1142.86,
8622101,910,North Somerset,Short term,In house,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,0,
8622102,910,North Somerset,Short term,External,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,113.57,
8622201,910,North Somerset,Short term,In house,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622202,910,North Somerset,Short term,External,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622301,910,North Somerset,Short term,In house,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622302,910,North Somerset,Short term,External,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622401,910,North Somerset,Short term,In house,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,0,
8622402,910,North Somerset,Short term,External,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,23.71,
8622501,910,North Somerset,Short term,In house,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,0,
8622502,910,North Somerset,Short term,External,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,0,
8622601,910,North Somerset,Short term,In house,Age 65 and over,Physical support,-,To maximise independence,Mandatory,164.0783588,
8622602,910,North Somerset,Short term,External,Age 65 and over,Physical support,-,To maximise independence,Mandatory,1468.43,
8622701,910,North Somerset,Short term,In house,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,0,
8622702,910,North Somerset,Short term,External,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,3.14,
8622801,910,North Somerset,Short term,In house,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622802,910,North Somerset,Short term,External,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,132,
8622901,910,North Somerset,Short term,In house,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,0,
8622902,910,North Somerset,Short term,External,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,8,
8623001,910,North Somerset,Short term,In house,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,0,
8623002,910,North Somerset,Short term,External,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,10.14,
8623101,910,North Somerset,Short term,In house,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,164.0783588,
8623102,910,North Somerset,Short term,External,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,139,
8623201,910,North Somerset,Short term,In house,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,0,
8623202,910,North Somerset,Short term,External,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,3.14,
8623301,910,North Somerset,Short term,In house,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,0,
8623302,910,North Somerset,Short term,External,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,8,
8623401,910,North Somerset,Short term,In house,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,0,
8623402,910,North Somerset,Short term,External,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,2.43,
8623501,910,North Somerset,Short term,In house,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,0,
8623502,910,North Somerset,Short term,External,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,1.14,
8623601,910,North Somerset,Short term,In house,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,0,
8623602,910,North Somerset,Short term,External,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,493.43,
8623701,910,North Somerset,Short term,In house,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,0,
8623702,910,North Somerset,Short term,External,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,0,
8623801,910,North Somerset,Short term,In house,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,0,
8623802,910,North Somerset,Short term,External,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,43.43,
8623901,910,North Somerset,Short term,In house,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,0,
8623902,910,North Somerset,Short term,External,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,5.57,
8624001,910,North Somerset,Short term,In house,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,0,
8624002,910,North Somerset,Short term,External,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,9,
8624101,910,North Somerset,Short term,In house,Age 85 and over,Physical support,-,To maximise independence,Voluntary,0,
8624102,910,North Somerset,Short term,External,Age 85 and over,Physical support,-,To maximise independence,Voluntary,836,
8624201,910,North Somerset,Short term,In house,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,0,
8624202,910,North Somerset,Short term,External,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,0,
