,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,NW,NE,YH,WM,EM,E,SE,L,SW,Eng
Total expenditure,2014 - 2015,Adults aged 18 to 64,Net total expenditure,63912.75,38106,33696,38544.3,28101.53,23405,41345,12044,20821,19510,23600,53483,15308,23116,37968.95,38488,68393,72617,24736.61,47730,133010,39103,34717,32713.89,25254.5,13837.43,70686.17,21487.7,35518,25775,69680,24198.41,27721,27879,35060.41,24793,29152.66,42018,27511.9,88941.42,41015,21616,44473.54,21688.58,29432,168056.59,17242.57,22593,49271,46319.49,65058.02,128964.29,37123,55866.36,43768,28841.91,33561,39118,113741,25333,27991,74390.15,35898.38,23404,60987,68419,88232,31921,81078,54652,3377,104883.66,42756,179910,148226.09,101631,99248.2,22660,63653.4,24880,16908,20663,25446,22850,19149,25588.89,250307,20648.54,20694,74792,28008.21,27049,45719,39944.47,44991.69,36032,25629,39622,19487,56144.02,46566.44,56492.09,53310.44,51259,15362,3080,19505,47171.16,22157,36472,39421,48996.33,43166.73,39395,49125.25,32668.94,25620,44068.31,31814.94,20487.49,23874,44951.24,40645,30205,35921,39358,21857.91,202510.1,89663,50875,20913.5,15930.97,178792,25097.44,34320,73456,46357,62508,30367,211079,36086.37,80536.44,79124,69534,90,21824.94,64903,31870.73,40499,98159,36436,19134.47,983869.31,347963.82,683859.25,733058.12,536305.66,917262.04,1239988.1,1202943.52,722706.03,7367955.86
Total expenditure,2013 - 2014,Adults aged 18 to 64,Gross total cost: total expenditure,71436.53,48964.24,36225,53825.89,36318,33328,55506.73,16919,32271,28498,27486,87035.01,17709,32539,46218,51087,99062,82568.53,34647.83,59221,143730,55704.63,47364,37798.28,27453,17863.62,84637,37342,43352,33289,93972,38923,35899,45594,42734,30588,34458.89,51450,32994,101782,49681.38,33117,60424,26975.54,35384,231749.04,27781,26805,65697,55180.42,71338.31,157656,45235.13,52224.81,52401,37014.46,39129,44208,136874,43947,32045,84656,47297.99,29733,92243,102812,141148,39667.5,102811,68609.11,5203,146330.6,55689,192314,151060.29,108220,118085,26624.01,77713,36949.9,19218,23273,29063.18,24893,22786,26615.47,247259,24179.06,19259.53,99096,37167,31334,44516.46,56553,51172.35,48697,32933,46449.28,28461.05,69010.35,56822.58,67817,60082.74,55825,49582,2033.15,22369.09,67308,33269.7,58764,46400,64830,56092.02,53117.94,55285.38,36560,31239,46989.76,34215,28435,30133.3,49142.14,43472,32323,42595,45659,27434.13,215424.94,94721,60957,32906,21625.35,180135,35396.18,37456,95596.15,57101,77744.57,32954,219626,42502.15,104106,112353,99403.85,101,33873,72802,35797.85,46541,112455,42630.98,24064.29,1269266.8,474085.87,857235.89,873759.68,754513.22,990894.35,1374124.09,1503637.83,910314.9,9007832.63
Total expenditure,2013 - 2014,Adults aged 18 to 64,Income: total,5242.09,8811.32,2056,6203.82,7780,10256,11382.48,4254,7947,5099,3492,14489.25,2354,4142,6467,9095,13366,9811.12,8224.66,11849,12458,13812.5,11990,2686.13,1864,2910.93,19170,8867,5563,4584,11679,10151,2705,8221,7793,7648,2842.38,9802,7665,9851,4052.37,6113,12283,6134.69,8225,38587.26,4034,4320,9163.15,7924.11,7048.97,22187,7570.46,2309.84,9714,3322.84,4699,3272,16026,6579,3990,9667,7359.02,7158,25696,12398,20504,2941,21875,17600.36,1135,25129.13,13085,17590,15606.34,10204.07,16012,2332.13,14727,6231,1569,1729,2604,2477,5404,2244.41,9918,900.48,1250.05,12613,6213,2093,1763.51,7363,10252.54,7376,2051,5879.31,7698.94,4918.36,7774.38,3556,5091.66,7357,11605,57.73,1694.15,8672,1529,7443,5669,7185,15744.27,8704.27,8000.49,3060,10780,5107.71,2810,5469,3415,5226.76,3525,5270,5757,4790,5639.66,26414.41,24474,7632,3829,2924.93,9493,5520.28,4402,13947.98,6253,5040.72,1849,17309,3692.6,19295,19768,26399.21,0,7178,5760.38,3977.57,5679,13235,3885.39,2756.41,194583.06,84124.87,136713.34,110903.12,140363.5,86291.51,164335.42,200832.58,129209.61,1247357
Total expenditure,2013 - 2014,Adults aged 18 to 64,Net total expenditure,66194.44,40152.92,34169,47622.07,28538,23072,44124.25,12665,24324,23399,23994,72545.76,15355,28397,39751,41992,85696,72757.42,26423.17,47372,131272,41892.13,35374,35112.15,25589,14952.69,65467,28475,37789,28705,82293,28772,33194,37373,34941,22940,31616.51,41648,25329,91931,45629.01,27004,48141,20840.85,27159,193161.77,23747,22485,56533.85,47256.31,64289.34,135469,37664.67,49914.97,42687,33691.62,34430,40936,120848,37368,28055,74989,39938.97,22575,66547,90414,120644,36726.5,80936,51008.75,4068,121201.47,42604,174724,135453.94,98015.93,102073,24291.89,62986,30718.9,17649,21544,26459.18,22416,17382,24371.06,237341,23278.58,18009.49,86483,30954,29241,42752.96,49190,40919.8,41321,30882,40569.97,20762.12,64091.98,49048.19,64261,54991.08,48468,37977,1975.42,20674.94,58636,31740.7,51321,40731,57645,40347.75,44413.68,47284.89,33500,20459,41882.05,31405,22966,26718.3,43915.37,39947,27053,36838,40869,21794.46,189010.54,70247,53325,29077,18700.42,170642,29875.9,33054,81648.17,50848,72703.85,31105,202317,38809.54,84811,92585,73004.64,101,26695,67041.62,31820.28,40862,99220,38745.59,21307.88,1074683.75,389960.99,720522.55,762856.56,614149.72,904602.85,1209788.67,1302805.25,781105.29,7760475.63
Other adult services: other expenditure,2014 - 2015,Other adult services,Gross total cost: total expenditure,2805.74,1085,1988,2234.62,811,608,73,823,2227,366,319,2830,298,11121,7448,226,2020,4410,2652.74,1084,4296,3606,2800,5204.7,2484,3118.89,10083,3242,32,8337,8619,41,414,1283,677.31,2009,871,1520,1481,4980,1249,1664,1370.38,4149.75,1676,15684.24,639,4095,7273,4283,1916,9595.49,706,4858.3,28,2716.63,1177,300,18502,21,1469,1545,3142,1285,4500,13593,7614,1213,5181,2112,683,12499.55,6433,11701,4729.24,594,356.02,5056,9507,189,981,1693.41,744,430,2428,682,9795,2641.74,1281,17952,1054,665,507,5544.34,7915.5,4480,3834,2007,1058,5691.77,5904.68,3725,8512.05,1405,101,1741,2267,14029.87,1293,1759,1505,6163.12,643,3635,1060.95,2267,338,2587.8,4141.61,7413.49,4761,5413.98,1155,943,2232,1669,882.86,770.34,10769,6189,2280,2065.16,4549,2561,1352,2694,1993,643,2939,520,618,2229,484,1095,0,6253,5833,2195.25,407,670,4929,408,75153.41,13662.62,63796.33,47261.42,53828.55,55738,43957.61,117197.16,38619.42,509214.53
Other adult services: other expenditure,2014 - 2015,Other adult services,Income: total,174.3,92,119,271.22,11,291,71,67,552,278,1,491,153,5727,1793,0,1407,194,1258.93,-41,1873,725,135,261.69,52,1171.19,8158,1237,0,4158,467,11,9,307,69.24,220,59,273,204,1231.9,144,831,675.59,1680.5,225,958.93,212,3532,7190,330.78,26,4484.61,64,421.26,0,0,88,28,13266,0,0,5717,1344,781,2254,12141,726,32,2070,35,0,2037.33,4274,1003,1341.43,10,0.82,4592,307,0,617,81.02,455,28,1125,308.2,6055,1492.12,134,10600,0,87,0,1554.59,4500.47,2611,1324,530,734,142.88,1032.09,1953,479.12,327,0,137,248,5217.7,366,256,134,1161.52,397,2072,-0.66,25,22,1122,4893.96,217,105,4999.24,445,0,23,180,170.52,158.99,162,2060,4489,1280.7,1053,1377,160,876,1225,31,1050,1,45,160.38,53,429,0,3701,1550,244.9,0,26,326,31,22963.24,2397.22,23951.81,26219.86,23569.33,25305.37,8159.73,37208.91,15431.98,185207.45
Other adult services: other expenditure,2014 - 2015,Other adult services,Net total expenditure,2631.44,993,1869,1963.4,800,317,2,756,1675,88,318,2339,145,5394,5655,226,613,4216,1393.81,1125,2423,2881,2665,4943.01,2432,1947.7,1925,2005,32,4179,8152,30,405,976,608.07,1789,812,1247,1277,3748.1,1105,833,694.78,2469.25,1451,14725.31,427,563,83,3952.22,1890,5110.88,642,4437.05,28,2716.63,1089,272,5236,21,1469,-4172,1798,504,2246,1452,6888,1181,3111,2077,683,10462.22,2159,10698,3387.81,584,355.21,464,9200,189,364,1612.39,289,402,1303,373.8,3740,1149.62,1147,7352,1054,578,507,3989.76,3415.03,1869,2510,1477,324,5548.89,4872.58,1772,8032.94,1078,101,1604,2019,8812.16,927,1503,1371,5001.6,246,1563,1061.61,2242,316,1465.79,-752.35,7196.49,4656,414.74,710,943,2209,1489,712.34,611.35,10607,4129,-2209,784.46,3496,1184,1192,1818,768,612,1889,519,573,2068.62,431,666,0,2552,4283,1950.35,407,644,4603,377,52190.17,11265.4,39844.52,21041.56,30259.22,30432.63,35797.88,79988.25,23187.43,324007.07
Other adult services: other expenditure,2013 - 2014,Other adult services,Gross total cost: total expenditure,2272.05,2601.41,882,4712.78,671,570,437.27,284,586,251,2743,2461.87,427,11093,1117,518,3337,5472.91,936.6,828,4761,2176.46,921,1155.19,546,1095.11,4264,534,40,8965,14794,650,2652,5523,675,1938,1408.83,1869,611,2176,726.34,436,820,3281.37,617,16999.89,2051,1272,2031.24,3417.1,3491.53,9311,-7.65,2740.24,1909,2341.73,4123,243,10616,583,615,914,3799.4,1131,3051,7812,6938,432,2805,7169.78,669,5651.71,6303,2932,13974.03,784,445,512.21,899,1100.77,1190,78,1284.21,467,1944,1803.18,19437,2541.11,341.71,4782,668,1491,736.74,2723,7077.73,5840,6440.5,1438.26,1128.63,14167.51,734.02,2186,8766.96,4493,5390,2381,2294.81,2807,1116,2469,233,3514,5556.01,6595.74,2291.79,861,1385,1844.72,6667,185,2353,2159.03,1471,548,825,1099,557.92,1013.09,9411,3702,1147,1511.46,5703,3418.33,862,13995.14,6751,843.88,493,416,1691.69,4974,10201,5490.75,223,4048,5661,426.97,370,1286,2561.69,632.89,75225.81,16627.33,38755.27,41810.25,40831.49,47860.8,53369.33,109041.69,43572.64,467094.6
Other adult services: other expenditure,2013 - 2014,Other adult services,Income: total,103.86,422.29,9,2096.73,33,245,133,38,37,1,192,1104.35,97,13815,225,4,2159,1314.8,135.89,261,1866,2163.05,83,485.2,20,474.69,2225,0,0,3419,2239,34,21,115,69,201,86.5,288,287,454,373.01,37,0,2107.28,0,1678.75,1564,123,597.35,230.32,135.43,7735,0,340.3,0,938.94,182,10,905,13,38,81,1302.19,777,1683,7448,43,38,445,1587.89,0,270.99,2537,322,1106.81,50,3,0.5,561,202,808,0,610,43,936,737.31,2768,6330.04,0,6,0,101,66.51,1201,8078.9,0,50,157.34,773.26,373.47,36.77,1833,141.21,116,155,292,139.73,185,3,0,0,426,823.12,5055.56,15.47,180,14,277.85,2554,15,83,817.21,480,16,83,153,2.12,0.08,158,1725,5,1465.2,2325,1603.18,100,1449.2,8174,18.26,41,1,0,63,2493,8994.75,24,2710,2303,22.98,0,80,713.8,4.59,14028.06,4408.36,25231.63,12457.87,14052.88,10703.86,17759.9,24528.89,20663.58,143835.03
Other adult services: other expenditure,2013 - 2014,Other adult services,Net total expenditure,2168.19,2179.12,873,2616.05,638,325,304.27,246,549,250,2551,1357.52,330,-2722,892,514,1178,4158.11,800.71,567,2895,13.41,838,669.99,526,620.43,2039,534,40,5546,12555,616,2631,5408,606,1737,1322.33,1581,324,1722,353.33,399,820,1174.1,617,15321.14,487,1149,1433.89,3186.78,3356.1,1576,-7.65,2399.94,1909,1402.79,3941,233,9711,570,577,833,2497.21,354,1368,364,6895,394,2360,5581.89,669,5380.71,3766,2610,12867.22,734,442,511.71,338,898.77,382,78,674.21,424,1008,1065.86,16669,-3788.94,341.71,4776,668,1390,670.23,1522,-1001.18,5840,6390.5,1280.92,355.37,13794.04,697.26,353,8625.75,4377,5235,2089,2155.08,2622,1113,2469,233,3088,4732.88,1540.18,2276.32,681,1371,1566.87,4113,170,2270,1341.82,991,532,742,946,555.79,1013.01,9253,1977,1142,46.27,3378,1815.16,762,12545.94,-1423,825.62,452,415,1691.69,4911,7708,-3504,199,1338,3358,403.99,370,1206,1847.89,628.3,61197.74,12218.97,13523.64,29352.38,26778.6,37156.94,35609.44,84512.8,22909.06,323259.57
Grand total gross expenditure,2014 - 2015,Total,Gross total cost: total expenditure,196064.06,117072,87904,110767.68,77643.88,78750,119284,45438,63746,55365,63398,197234.58,40024,81335,113619,99662,183558,172912,76098.74,137322,277106,116887,129738,101551.97,56237,53981.53,206447,67729,92011,70849,155062,68290,70206,79234,107490.1,74659,72870,106931,63298,196010.75,110911,65372,122126.49,47981.38,78812,443378.68,59263,62388,152407,109116.42,165063,378860.53,100978.17,116253.89,99803,71781.73,88387,95590,298696,88164,73122,195422,102407,57020,231738,226444,274863,82896,212811,142813.4,11491,306818.39,125594,399187,325972.7,239090,264925.62,59897,168850,76917,43086,55324.57,55852,53350,47122,56738.38,544749,60403.74,42096,220278,64561.76,57956,94079,110401.29,112858.48,85565,75001.72,94564,67701,125334.89,108123.82,107331.09,111608.19,105265,89392,6572,56393,121413.61,62412,87160,90343,118705.29,125680,109774,103308.17,75435,65653,88932.97,72068.98,61774.21,72578.6,94396.77,88644,75872,70128,84767,66766.5,450260.7,267353,158350,61149.5,50603.38,428506,68621,85441,228038,113341,155818,66910,474261,84544,194867,230386,219622,635,79621.33,177686,84626.28,100110,303961,92857,54473.9,2604730.89,1056627.14,1874184.25,1931548.32,1615468.79,2134105.83,3063462.16,2925158.06,2031676.38,19236961.81
Grand total gross expenditure,2014 - 2015,Total,Income: total,57442.91,34510,15941,28528.29,26404.78,30369,40613,15510,23092,17227,15998,66405,10690,34094,38166,27478,47346,49135,26082.34,43792,78127,34873,49898,26177.13,8266,15159.37,55585,20249.3,26082,22102,24540,21463,17727,24526,36328.73,24009,12426.32,29530,12212.57,48092.45,22758,22087,45682.82,12286.11,23658,109856.17,12217,20624,36113,23258.43,33885,102881.73,26483,24239.47,12552,14497.27,14762,21776,76571,23790,17484,52143,30772.41,13557,83783,61175,73330,16530,63055,40596.8,3217,84779.08,36512,79869,94481.91,53909,56613.26,11010,37797,16493,11199,11767.58,11394,15837,10698,11190.57,110377,17384.58,7439,60900,15253.23,10938,17420,25142.29,34918.5,20071,20241,22037,20955,24147.87,20206.6,13885,14456.15,21022,27839,576,14406,28327.34,17219,18893,24003,31558.26,38636.35,23389,18292.14,12153.7,11677,17115.46,16523.81,12939,21243,22903.9,24218,18567,12305,16534,18339.54,75865.05,70797,35209,15284,13348.97,93230,18827.56,18455,59429,28181,17538,10755,100007,19254,52664.93,54714,79086,276,25338.46,37891,23493.87,22692,84417,20385,14349.59,685022.51,325288.07,554428.15,465393.87,462977.88,481685.97,682670.3,666401.37,507442.82,4831310.94
Grand total gross expenditure,2014 - 2015,Total,Net total expenditure,138621.15,82562,71963,82239.39,51239.1,48381,78671,29928,40654,38138,47400,130829.58,29334,47241,75453,72184,136212,123777,50016.4,93530,198979,82014,79840,75374.84,47971,38822.16,150862,47479.7,65929,48747,130522,46827,52479,54708,71161.37,50650,60443.68,77401,51085.43,147918.3,88153,43285,76443.67,35695.27,55154,333522.51,47046,41764,116294,85857.99,131178,275978.8,74495.17,92014.42,87251,57284.47,73625,73814,222125,64374,55638,143279,71634.59,43463,147955,165269,201533,66366,149756,102216.6,8274,222039.31,89082,319318,231490.8,185181,208312.36,48887,131053,60424,31887,43557,44458,37513,36424,45547.81,434372,43019.16,34657,159378,49308.54,47018,76659,85259,77939.97,65494,54760.72,72527,46746,101187.02,87917.21,93446.09,97152.04,84243,61553,5996,41987,93086.27,45193,68267,66340,87147.03,87043.65,86385,85016.02,63281.3,53976,71817.51,55545.17,48835.21,51335.6,71492.87,64426,57305,57823,68233,48426.96,374395.65,196556,123141,45865.5,37254.41,335276,49793.44,66986,168609,85160,138280,56155,374254,65290,142202.07,175672,140536,359,54282.87,139795,61132.41,77418,219544,72472,40124.31,1919708.38,731339.07,1319756.1,1466154.45,1152490.91,1652419.86,2380791.86,2258756.69,1524233.56,14405650.87
Grand total gross expenditure,2013 - 2014,Total,Gross total cost: total expenditure,194623.23,124499.69,86351,121701.14,73460,73776,119366,44063,63312,55916,65463,204917.74,40776,77948,108476,109168,200959,171834.81,71541.77,133243,284802,119380.92,124794,98263.75,56887,51748.9,198549,71211,95163,76191,183380,77079,72319,87038,107124,72865,72897.09,104769,71804,193595,113151,71187,119268,57081.38,77392,459595.6,52280,60687,151489.18,111643.08,169787.53,369309,105157.89,112481.77,111559,74816.51,100105,94259,296178,98804,71887,191732,102466.24,60610,222393,214345,298333,83267,209316,132442.83,12266,314810.34,117991,383738,362307.22,236873,270152,58280.77,158796,74332.5,38065,49476,56313.21,50144,47124,51881.73,523380,57427.54,43738.81,201732,64263,58942,89661.09,111971,105073.61,104679,76213.5,91989.07,64065.35,131554.42,109759.88,110626,115531.74,104480,108643,6182.43,56696.2,128283,67413.7,108022,97149,124701,115460.95,115260.42,100767.05,73365,74283,89143.35,72800,57142,68278.3,89046.59,89079,74462,67809,87719,64037.83,437609.28,285949,159097,71969,53997.97,418463,70594.21,84739,250550.07,117062,157556.02,64613,473302,81740.19,202868,239456,205342.11,1110,76140,171608,81480.32,98266,295165,94927.96,54315.27,2682621.56,1073601.57,1878807.15,1959152.93,1605164.17,2113622.42,3047052.01,2997649.54,2027911.65,19385583
Grand total gross expenditure,2013 - 2014,Total,Income: total,53414.39,35055.6,13855,29618.99,21819,25591,33206.48,15413,19461,14657,14847,57890.72,11606,28159,30483,31301,47089,41080.11,22666.11,43698,61973,36623.15,53183,17276.22,9821,13183.77,54827,22603,27300,18942,28387,21149,14996,24705,36205,23963,12723.54,28536,23151,45197,23799.42,22202,36507,21668.25,25726,111206.11,12934,17223,31851.04,28287.31,32881.72,83317,27791.72,22217.05,22950,15774.02,18143,23190,63739,24087,13578,40465,29089.15,15788,75068,54461,61407,17235,57455,36317.44,2478,76716.36,31595,71744,83153.51,52168.07,55819,10830.58,37054,16751,6066,7888,10126,12621,13204,8137.85,97138,18871.58,11154.38,31550,14943,10352,15477.57,21763,32971.15,15778,14023,17999.78,18490.72,19704.31,23251.39,12206,9647.87,19498,26519,718.73,8610.63,26086,13471,18987,20246,23114,35272.89,25393.38,17793.39,11427,22275,14361.96,14032,13456,19516,16547.16,22948,15736,11767,14520,17316.6,76661.83,71536,39513,13342,12774.69,88839,19006.47,17534,64905.61,32944,19838.3,8924,95174,15082.62,44635,57893,65067.75,687,22762,32884.38,24352.98,19765,76017,19618.03,12528.21,690073.05,293020.79,513966.37,433010.67,412732.8,421033.62,663016.04,598131.35,470602.33,4495587.02
Grand total gross expenditure,2013 - 2014,Total,Net total expenditure,141208.84,89444.09,72496,92082.15,51641,48185,86159.52,28650,43851,41259,50616,147027.02,29170,49789,77993,77867,153870,130754.7,48875.66,89545,222829,82757.77,71611,80987.53,47066,38565.13,143722,48608,67863,57249,154993,55930,57323,62333,70919,48902,60173.55,76233,48653,148398,89351.58,48985,82761,35413.14,51666,348389.49,39346,43464,119638.14,83355.77,136905.81,285992,77366.17,90264.72,88609,59042.49,81962,71069,232439,74717,58309,151267,73377.08,44822,147325,159884,236926,66032,151861,96125.39,9788,238093.98,86396,311994,279153.71,184704.93,214333,47450.19,121742,57581.5,31999,41588,46187.21,37523,33920,43743.88,426242,38555.96,32584.43,170182,49320,48590,74183.52,90208,72102.46,88901,62190.5,73989.29,45574.63,111850.1,86508.49,98420,105883.87,84982,82124,5463.7,48085.57,102197,53942.7,89035,76903,101587,80188.06,89867.04,82973.67,61938,52008,74781.4,58768,43686,48762.3,72499.43,66131,58726,56042,73199,46721.24,360947.45,214413,119584,58627,41223.28,329624,51587.74,67205,185644.47,84118,137717.72,55689,378128,66657.56,158233,181563,140274.36,423,53378,138723.62,57127.35,78501,219148,75309.93,41787.06,1992548.5,780580.77,1364840.79,1526142.27,1192431.37,1692588.8,2384035.98,2399518.19,1557309.32,14889995.99
Other non-PSS expenditure,2014 - 2015,Total,Net total expenditure,0,0,0,0,0,0,0,0,5371,0,0,0,868,0,0,0,0,0,2143.97,0,0,0,0,5901.8,0,0,0,0,0,0,30293,3708,2831,0,1483.63,0,0,0,0,0,0,4337,0,0,0,0,0,0,0,0,0,0,0,0,129,570.94,0,0,0,9697,0,0,0,0,0,0,22635,0,0,0,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-115.2,4877,0,0,0,73,0,4478.78,0,0,10827,10190,0,0,0,0,1632,6304,0,0,0,8233,1090.5,6312,0,0,3785,0,0,7026,2606.15,0,0,0,-0.01,1588,0,6358,0,0,11885.5,0,0,5245,-5.42,23148,0,6669,0,-2366,798,0,0,0,0,0,0,0,3549.41,0,0,0,0,3520,0,42652.63,6239,8045.77,10396.94,24157,4834.8,39336.5,70430.42,13106.98,219200.05
Other non-PSS expenditure,2013 - 2014,Total,Net total expenditure,0,0,0,0,0,0,0,0,8141,0,132,0,0,11585,0,0,0,5,2157.43,0,0,0,0,4812.49,0,2174.19,0,0,0,-2835,0,4164,0,18801,1478,0,0,0,70,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679,0,0,0,968.45,0,0,0,0,0,847.75,0,0,0,0,230,0,0,0,0,-135.3,0,0,1555,0,188.66,0,2189.44,11857,0,9765,10924.92,0,0,0,0,0,13492,0,0,0,417,7435,0,0,0,0,0,0,0,0,0,0,8675,17911.41,1757,293,6038,9927,0,10494.32,0,0,0,43.92,25387,0,7632,0,0,0,0,0,0,0,0,0,0,734,0,0,0,0,0,0,21710,8273,20734.11,0,2647.45,2456.11,43743.32,100681.78,777.92,201023.7
Specific Government Grants,2014 - 2015,Total,Net total expenditure,355,648,414,581.71,2979,0,656,361,239,190,363,784,86,457,507,88,522,536,403.01,448,5979,368,532,1969.9,3574,409,523,602,251,273,5108,0,320,501,428,0,4537,564,5096,6718,279,1632,367.5,393,4087,2792.19,85,163,4125,0,346,1656.46,2287,216.94,459,0,6688,140,657,7162,1606,28546,569.94,1205,0,2884,0,246,805,940.45,0,4838.82,267,695,740,520,1234.03,251,305,164,602,517.77,553,0,317,865,1349,618.07,0,0,1157,75,286,0,259,7462,0,0,450,0,506.55,43,390,234,191,83,1379,187,450,473,0,3113,1005,498,481.46,1502,120,176.17,450,76.06,348,390.21,208,0,450,197,405.07,567.6,23191,2176,0,0,444,8,700,1330,60,7451,353,7845,245,308,618,0,247,131.8,506,661.87,67,765,557,0,38074.69,7301.71,16917.91,51539.33,9981.27,6405.11,38639.44,21122.45,13841.67,203823.58
Specific Government Grants,2013 - 2014,Total,Net total expenditure,227,437.96,85,1165.12,0,0,1228,178,149,0,2529,2460.7,0,1672,1756,141,676,0,57.43,26,5373,65,175,0,3713,0,262,301,375,0,7066,0,0,19359,227,0,3550,489,3529,0,0,1298,139,56.6,0,937,0,0,4152.29,0,541.78,1153.79,4826.9,-156.07,386,0,5132,988,160,5899,827,27323,150,1135,209,1968,0,-65,255480,287,85,3135.48,155,0,818,0,693,139.56,83,164,0,0,60,0,0,0,679,407.87,0,218,140,0,258.4,0,259,6728,0,7446.52,0,478.23,32.65,5455,257,230,235,0,999.34,619.09,0,0,437,2959,2087,262,59.06,1420,0,155.2,56,0,132,734,68,852,2640,193,202.15,2357.53,22153,1763,1199,44.48,2202,0,0,1362,0,0,2753,8135,0,0,160,0,48,43,0,220.88,98,596,224.9,0,41404.89,8232.78,14217.43,48366.41,261254.48,3353.83,36718.68,34794.1,7150.26,455492.85
Actual total net cost,2014 - 2015,Total,Net total expenditure,138266.15,81914,71549,81657.68,48260.1,48381,78015,29567,45786,37948,47037,130045.58,30116,46784,74946,72096,135690,123241,51757.35,93082,193000,81646,79308,79306.74,44397,38413.16,150339,46877.7,65678,48474,155707,50535,54990,54207,72217,50650,55906.68,76837,45989.43,141200.3,87874,45990,76076.16,35302.27,51067,330730.32,46961,41601,112169,85857.99,130832,274322.34,72208.17,91797.48,86921,57855.41,66937,73674,221468,66909,54032,114733,71064.66,42258,147955,162385,224168,66120,148951,101276.15,9796,217200.5,88815,318623,230750.8,184661,207078.33,48636,130748,60260,31285,43039.23,43905,37513,36107,44682.81,433023,42285.89,39534,159378,48151.54,46943,76446,85259,82159.75,58032,54760.72,83354,56486,101187.02,87410.66,93403.09,96762.04,85641,67666,5913,40608,92899.27,52976,68884.5,72652,84034.03,86038.65,89672,84534.56,61779.3,60882,74247.5,55095.17,48759.14,50987.6,71102.65,65806,57305,63731,68036,48021.89,385713.55,173365,120965,51110.5,37248.99,357980,49785.44,72955,167279,82734,131627,55802,366409,65045,141894.07,175054,140536,112,57700.48,139289,60470.53,77351,218779,75435,40124.31,1924286.32,730276.36,1310883.96,1425012.06,1166666.64,1650849.55,2381488.92,2308064.66,1523498.88,14421027.34
Actual total net cost,2013 - 2014,Total,Net total expenditure,140981.84,89006.13,72411,90917.02,:,48185,84931.52,28472,51843,:,48219,:,29170,59702,76237,77726,153194,130759.7,50975.66,:,217456,82692.77,:,85800.02,43353,40739.32,143460,:,67488,54414,:,60094,57323,61775,72170,..,56623.55,75744,45194,148398,89351.58,:,82622,35356.54,51698,347452.49,:,:,115485.85,:,136364.03,284838.21,72539.27,90420.79,88223,59042.49,:,:,232279,68818,:,:,..,43687,147116,:,236926,67776,:,95838.39,9703,235926.95,:,311994,:,:,:,48158.38,121659,:,:,:,46357.21,37523,:,:,425563,38012.79,32584.43,169964,50735,:,74113.78,:,74032.91,94030,62190.5,76307.77,56499.55,111371.87,86475.84,:,:,:,95381,:,47086.23,:,54359.7,96470,76466,98628,:,89605.04,82914.6,60518,52008,74626.2,58712,43686,57305.3,89676.84,67820,58167,59440,82933,46519.09,369084.24,192260,117821,..,41222.72,352809,:,74837,184282.47,84118,137717.72,52936,369993,66657.56,158233,181403,140274.36,375,54069,:,:,78403,218552,:,41787.06,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data are presented in £'000s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:  represents mandatory data that are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
